City,State,Region
Lansing,MI,Midwest
Las Vegas,NV,West
Reidsville,NC,South
Valley Cottage,NY,Northeast
Minneapolis,MN,Midwest
Bronxville,NY,Northeast
Richmond,IN,Midwest
Rockwood,MI,Midwest
San Antonio,TX,South
Palo Alto,CA,West
Houston,TX,South
Columbia,SC,South
Downers Grove,IL,Midwest
Richardson,TX,South
Hillsdale,NJ,Northeast
Lansdowne,PA,Northeast
Williamsburg,VA,South
Washington,DC,South
Waconia,MN,Midwest
Provo,UT,West
Pittsburgh,PA,Northeast
Romeoville,IL,Midwest
New York,NY,Northeast
American Fork,UT,West
San Ramon,CA,West
Lehi,UT,West
Tacoma,WA,West
San Leandro,CA,West
Omaha,NE,Midwest
White Plains,NY,Northeast
Anchorage,AK,West
Tampa,FL,South
Holmdel,NJ,Northeast
Providence,RI,Northeast
Frackville,PA,Northeast
Canton,OH,Midwest
Centreville,MD,South
Charlotte,NC,South
Newburgh,NY,Northeast
Jefferson City,MO,Midwest
Nashville,TN,South
Baton Rouge,LA,South
Milwaukee,WI,Midwest
Orlando,FL,South
Shreveport,LA,South
Palmdale,CA,West
Los Angeles,CA,West
Radnor,PA,Northeast
Owens Crossroads,AL,South
Raleigh,NC,South
Plymouth,MN,Midwest
Akron,OH,Midwest
McLean,VA,South
Denver,CO,West
Greenville,NC,South
Fort Smith,AR,South
Birmingham,AL,South
Albuquerque,NM,West
Springfield,MA,Northeast
Vancouver,WA,West
Augusta,NJ,Northeast
Chicago,IL,Midwest
Berea,OH,Midwest
El Paso,TX,South
Novi,MI,Midwest
Brook Park,OH,Midwest
Palos Heights,IL,Midwest
Seattle,WA,West
Arlington,VA,South
Independence,OH,Midwest
Silverton,OR,West
Silverdale,WA,West
King County,WA,West
Westport,CT,Northeast
Jacinto City,TX,South
New Haven,CT,Northeast
Montgomery,AL,South
Rocky Mount,NC,South
Jacksonville,FL,South
Falls Church,VA,South
Westmont,IL,Midwest
Poway,CA,West
Coos Bay,OR,West
Cincinnati,OH,Midwest
New Britain,CT,Northeast
Atlanta,GA,South
Savannah,GA,South
Grovetown,GA,South
Boise,ID,West
Cary,NC,South
Guntersville,AL,South
Huntsville,AL,South
Tucson,AZ,West
Skokie,IL,Midwest
Framingham,MA,Northeast
Belle,WV,South
Mansfield,MA,Northeast
Duncansville,PA,Northeast
Munfordville,KY,South
Troy,AL,South
Taylor,MI,Midwest
Sarasota,FL,South
Honolulu,HI,West
Philadelphia,PA,Northeast
Catlettsburg,KY,South
Lake Zurich,IL,Midwest
Grove City,PA,Northeast
Tupelo,MS,South
New Orleans,LA,South
Shakopee,MN,Midwest
Syracuse,NY,Northeast
Portland,ME,Northeast
Plano,TX,South
Upland,CA,West
Green Bay,WI,Midwest